阿富汗,AF,+93
阿尔巴尼亚,AL,+355
阿尔及利亚,DZ,+213
美属萨摩亚,AS,+1 684
安道尔,AD,+376
安哥拉,AO,+244
安圭拉,AI,+1 264
南极洲,AQ,+672
安提瓜和巴布达,AG,+1 268
阿根廷,AR,+54
亚美尼亚,AM,+374
鲁巴,AW,+297
澳大利亚,AU,+61
奥地利,AT,+43
阿塞拜疆,AZ,+994
巴哈马,BS,+1 242
巴林,BH,+973
孟加拉国,BD,+880
巴巴多斯,BB,+1 246
白俄罗斯,BY,+375
比利时,BE,+32
伯利兹,BZ,+501
贝宁,BJ,+229
百慕达群岛,BM,+1 441
不丹,BT,+975
玻利维亚,BO,+591
波斯尼亚黑塞哥维那,BA,+387
博茨瓦纳,BW,+267
布维岛,BV,+47
巴西,BR,+55
文莱达鲁萨兰国,BN,+673
保加利亚,BG,+359
布基纳法索,BF,+226
蒲隆地,BI,+257
柬埔寨,KH,+855
喀麦隆,CM,+237
加拿大,CA,+1
佛得角,CV,+238
开曼群岛,CYM,+1 345
中非共和国,CF,+236
乍得,TD,+235
智利,CL,+56
中国,CN,+86
哥伦比亚,CO,+57
科摩罗,KM,+269
刚果共和国,CG,+242
刚果民主共和国,CD,+243
库克群岛,CK,+682
哥斯达黎加,CR,+506
克罗地亚,HR,+385
古巴,CU,+53
塞浦路斯,CY,+357
捷克共和国,CZ,+420
丹麦,DK,+45
吉布提,DJ,+253
多米尼克,DM,+1 767
多米尼加共和国,DO,+1 809
厄瓜多尔,EC,+593
埃及,EG,+20
萨尔瓦多,SV,+503
赤道几内亚,GQ,+240
厄立特里亚,ER,+291
爱沙尼亚,EE,+372
埃塞俄比亚,ET,+251
斐济,FJ,+679
芬兰,FI,+358
法国,FR,+33
法屬圭亞那,GF,+594
冈比亚,GM,+220
格鲁吉亚,GE,+995
德国,DE,+49
加纳,GH,+233
直布罗陀,GI,+350
希腊,GR,+30
格林纳达,GD,+1 473
瓜德罗普岛,GP,+590
危地马拉 (瓜地馬拉),GT,+502
几内亚,GN,+224
几内亚比绍,GW,+245
圭亚那,GY,+592
海地,HT,+509
洪都拉斯,HN,+504
香港,HK,+852
匈牙利,HU,+36
冰岛,IS,+354
印度,IN,+91
印尼,ID,+62
伊朗,IR,+98
伊拉克,IQ,+964
爱尔兰,IE,+353
以色列,IL,+972
意大利,IT,+39
牙买加,JM,+1 876
日本,JP,+81
约旦,JO,+962
哈萨克斯坦,KZ,+7
肯尼亚,KE,+254
科威特,KW,+965
吉尔吉斯斯坦,KG,+996
老挝,LA,+856
拉脱维亚,LV,+371
黎巴嫩,LB,+961
莱索托,LS,+266
利比亚,LY,+218
列支敦士登,LI,+423
立陶宛,LT,+370
卢森堡,LU,+352
澳门,MO,+853
马其顿,MK,+389
马达加斯加,MG,+261
马拉维,MW,+265
马来西亚,MY,+60
马尔代夫,MV,+960
马里,ML,+223
马耳他,MT,+356
马提尼克,MQ,+596
毛里塔尼亚,MR,+222
毛里求斯,MU,+230
墨西哥,MX,+52
摩尔多瓦,MD,+373
摩纳哥,MC,+377
蒙古,MN,+976
黑山,ME,+382
摩洛哥,MA,+212
莫桑比克,MZ,+258
缅甸,MM,+95
纳米比亚,NA,+264
瑙鲁,NR,+674
尼泊尔,NP,+977
荷兰,NL,+31
新西兰,NZ,+64
尼加拉瓜,NI,+505
尼日利亚,NG,+234
北韩,KP,+850
挪威,NO,+47
阿曼,OM,+968
巴基斯坦,PK,+92
巴拿马,PA,+507
巴布亚新几内亚,PG,+675
巴拉圭,PY,+595
秘鲁,PE,+51
菲律宾,PH,+63
波兰,PL,+48
葡萄牙,PT,+351
波多黎各,PR,+1 787
卡塔尔,QA,+974
罗马尼亚,RO,+40
俄罗斯,RU,+7
卢旺达,RW,+250
萨摩亚,WS,+685
圣马力诺,SM,+378
沙特阿拉伯,SA,+966
塞内加尔,SN,+221
塞尔维亚,RS,+381
塞舌尔,SC,+248
塞拉利昂,SL,+232
新加坡,SG,+65
斯洛伐克,SK,+421
斯洛文尼亚,SI,+386
南非,ZA,+27
韩国,KR,+82
西班牙,ES,+34
斯里兰卡,LK,+94
苏丹,SD,+249
苏里南,SR,+597
史瓦济兰,SZ,+268
瑞典,SE,+46
瑞士,CH,+41
叙利亚,SY,+963
台湾,TW,+886
塔吉克斯坦,TJ,+992
坦桑尼亚,TZ,+255
泰国,TH,+66
东帝汶,TL,+670
多哥,TG,+228
突尼斯,TN,+216
土耳其,TR,+90
土库曼,TM,+993
乌干达,UG,+256
乌克兰,UA,+380
阿拉伯联合酋长国,AE,+971
英国,GB,+44
美国,US,+1
乌拉圭,UY,+598
乌兹别克斯坦,UZ,+998
瓦努阿图,VU,+678
越南,VN,+84
也门,YE,+967
赞比亚,ZM,+260
津巴布韦,ZW,+263